annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
3,Antonio solleva il dolore del suo amico,5,4
3,Alessandro versa le energie nello studio,4,6
3,Il poliziotto strappa una confessione al ladro,5,6
3,Elisa spazza i problemi con decisione,4,6
3,Anna raccoglie le confidenze dell' amica,5,4
3,Sara sciacqua la coscienza con la beneficienza,4,4
3,Il giudice addita le colpe degli imputati,5,7
3,Il dirigente cuce nuovi rapporti di lavoro,5,2
3,Il giovane coglie l' opportunità con entusiasmo,4,6
3,L' inventore sfoglia le idee nella sua testa,6,3
3,Silvia afferra l' intuizione del collega,4,5
3,La madre costruisce la personalità del figlio,5,4
3,Adele calpesta i sogni della figlia ,4,6
3,Carlo calcia le critiche degli invidiosi ,5,6
3,L' architetto saltella da un' idea all' altra ,4,6
3,Lo studente zoppica verso l' esame di storia,4,6
3,Lisa corre verso l' amore con ingenuità,4,6
3,Il nonno cammina tra i ricordi d' infanzia,5,6
3,L' imprenditore segue l' istinto con decisione,4,6
3,Aldo fugge dagli obblighi del matrimonio,4,5
3,Marco percorre il destino del campione,6,2
3,Sofia attraversa le difficoltà con coraggio,6,7
3,Mario arriva alla decisione con fatica,4,6
3,Il paziente salta l' appuntamento con il dottore,5,6
3,Marta giunge alla conclusione del discorso,4,6
3,Il critico entra nella discussione con foga,4,6
3,Luigi avanza tra i problemi della vita,4,6
3,Giorgio passa dalla gioia alla disperazione ,5,6
3,L' uomo raggiunge la felicità per un istante,4,5
3,La vicina scende nei particolari della storia,4,5
3,Mara inciampa negli imprevisti della vita,4,6
3,Nino esce dall' ossessione delle scommesse,4,6
3,Lo psicologo perlustra l' animo del paziente,4,6
3,L' adolescente girovaga nei sogni di successo,6,3
3,L' operaio arranca verso la paga di fine-mese,4,6
3,Elena scivola sulla domanda di filosofia,3,5
3,Il padre sgattaiola dall' impegno dei figli,6,4
3,Luca scappa dalla realtà con la meditazione,4,6
3,L' artista pedala sull' ispirazione del momento,5,5
3,Il direttore pesta i diritti dei lavoratori,4,3
3,Franco scalcia i rimorsi di coscienza,4,5
3,La ragazza passeggia tra le pagine del diario,4,3
4,Alice disegna il suo futuro con Alberto,4,5
4,Laura ricama il discorso con tanti dettagli,4,5
4,Guido timbra il passaggio all' età adulta ,3,5
4,Gaia rammenda i rapporti con i genitori,5,7
4,Il giornalista accende l'interesse di Luca,5,6
4,Il professore apre la mente degli alunni,3,6
4,Il laureato chiude un capitolo della sua vita,5,7
4,Matilde getta la tristezza alle spalle,6,5
4,Il carabiniere monta gli indizi del delitto,5,6
4,La nonna attacca i ricordi nella memoria,4,5
4,Lo scienziato spacca il problema nei dettagli,3,6
4,Il cacciatore rompe la quiete del bosco,7,6
4,Monica butta le speranze nel dimenticatoio,4,6
4,Vittorio spezza la noia con un film,6,5
4,L'avvocato tocca il centro della questione,5,6
4,Il politico trita le idee degli avversari,6,4
4,Annalisa scava i segreti dell'animo ,5,6
4,Marcella colpisce il cuore del suo fidanzato,4,6
4,Antonio solleva il dolore del suo amico,4,6
4,Alessandro versa le energie nello studio,4,6
4,Il poliziotto strappa una confessione al ladro,4,7
4,Elisa spazza i problemi con decisione,4,6
4,Anna raccoglie le confidenze dell' amica,5,6
4,Sara sciacqua la coscienza con la beneficienza,4,5
4,Il giudice addita le colpe degli imputati,4,6
4,Il dirigente cuce nuovi rapporti di lavoro,4,2
4,Il giovane coglie l' opportunità con entusiasmo,4,6
4,L' inventore sfoglia le idee nella sua testa,5,6
4,Silvia afferra l' intuizione del collega,4,6
4,La madre costruisce la personalità del figlio,4,6
4,Adele calpesta i sogni della figlia ,4,5
4,Carlo calcia le critiche degli invidiosi ,4,6
4,L' architetto saltella da un' idea all' altra ,4,6
4,Lo studente zoppica verso l' esame di storia,4,5
4,Lisa corre verso l' amore con ingenuità,4,5
4,Il nonno cammina tra i ricordi d' infanzia,5,6
4,L' imprenditore segue l' istinto con decisione,5,7
4,Aldo fugge dagli obblighi del matrimonio,4,6
4,Marco percorre il destino del campione,6,4
4,Sofia attraversa le difficoltà con coraggio,4,6
4,Mario arriva alla decisione con fatica,4,6
4,Il paziente salta l' appuntamento con il dottore,1,4
4,Marta giunge alla conclusione del discorso,4,7
4,Il critico entra nella discussione con foga,5,6
4,Luigi avanza tra i problemi della vita,5,4
4,Giorgio passa dalla gioia alla disperazione ,3,6
4,L' uomo raggiunge la felicità per un istante,6,5
4,La vicina scende nei particolari della storia,4,6
4,Mara inciampa negli imprevisti della vita,4,5
4,Nino esce dall' ossessione delle scommesse,5,6
4,Lo psicologo perlustra l' animo del paziente,5,6
4,L' adolescente girovaga nei sogni di successo,4,6
4,L' operaio arranca verso la paga di fine-mese,4,5
4,Elena scivola sulla domanda di filosofia,4,5
4,Il padre sgattaiola dall' impegno dei figli,4,5
4,Luca scappa dalla realtà con la meditazione,4,5
4,L' artista pedala sull' ispirazione del momento,4,5
4,Il direttore pesta i diritti dei lavoratori,4,6
4,Franco scalcia i rimorsi di coscienza,4,6
4,La ragazza passeggia tra le pagine del diario,4,6
5,Alice disegna il suo futuro con Alberto,3,4
5,Laura ricama il discorso con tanti dettagli,5,6
5,Guido timbra il passaggio all' età adulta ,4,6
5,Gaia rammenda i rapporti con i genitori,6,6
5,Il giornalista accende l'interesse di Luca,5,4
5,Il professore apre la mente degli alunni,5,6
5,Il laureato chiude un capitolo della sua vita,5,6
5,Matilde getta la tristezza alle spalle,4,6
5,Il carabiniere monta gli indizi del delitto,6,5
5,La nonna attacca i ricordi nella memoria,4,6
5,Lo scienziato spacca il problema nei dettagli,4,5
5,Il cacciatore rompe la quiete del bosco,3,6
5,Monica butta le speranze nel dimenticatoio,4,5
5,Vittorio spezza la noia con un film,5,6
5,L'avvocato tocca il centro della questione,4,6
5,Il politico trita le idee degli avversari,4,3
5,Annalisa scava i segreti dell'animo ,6,5
5,Marcella colpisce il cuore del suo fidanzato,5,6
5,Antonio solleva il dolore del suo amico,4,6
5,Alessandro versa le energie nello studio,5,6
5,Il poliziotto strappa una confessione al ladro,4,6
5,Elisa spazza i problemi con decisione,4,6
5,Anna raccoglie le confidenze dell' amica,4,6
5,Sara sciacqua la coscienza con la beneficienza,4,2
5,Il giudice addita le colpe degli imputati,5,6
5,Il dirigente cuce nuovi rapporti di lavoro,4,2
5,Il giovane coglie l' opportunità con entusiasmo,5,7
5,L' inventore sfoglia le idee nella sua testa,5,5
5,Silvia afferra l' intuizione del collega,4,6
5,La madre costruisce la personalità del figlio,4,5
5,Adele calpesta i sogni della figlia ,4,6
5,Carlo calcia le critiche degli invidiosi ,4,6
5,L' architetto saltella da un' idea all' altra ,4,5
5,Lo studente zoppica verso l' esame di storia,5,6
5,Lisa corre verso l' amore con ingenuità,5,6
5,Il nonno cammina tra i ricordi d' infanzia,4,6
5,L' imprenditore segue l' istinto con decisione,3,6
5,Aldo fugge dagli obblighi del matrimonio,5,6
5,Marco percorre il destino del campione,4,2
5,Sofia attraversa le difficoltà con coraggio,4,6
5,Mario arriva alla decisione con fatica,6,7
5,Il paziente salta l' appuntamento con il dottore,4,6
5,Marta giunge alla conclusione del discorso,6,7
5,Il critico entra nella discussione con foga,4,6
5,Luigi avanza tra i problemi della vita,5,7
5,Giorgio passa dalla gioia alla disperazione ,6,4
5,L' uomo raggiunge la felicità per un istante,5,6
5,La vicina scende nei particolari della storia,5,6
5,Mara inciampa negli imprevisti della vita,4,6
5,Nino esce dall' ossessione delle scommesse,5,6
5,Lo psicologo perlustra l' animo del paziente,5,6
5,L' adolescente girovaga nei sogni di successo,6,5
5,L' operaio arranca verso la paga di fine-mese,5,4
5,Elena scivola sulla domanda di filosofia,1,4
5,Il padre sgattaiola dall' impegno dei figli,4,6
5,Luca scappa dalla realtà con la meditazione,4,5
5,L' artista pedala sull' ispirazione del momento,6,5
5,Il direttore pesta i diritti dei lavoratori,5,2
5,Franco scalcia i rimorsi di coscienza,4,6
5,La ragazza passeggia tra le pagine del diario,4,6
6,Alice disegna il suo futuro con Alberto,4,5
6,Laura ricama il discorso con tanti dettagli,5,6
6,Guido timbra il passaggio all' età adulta ,4,6
6,Gaia rammenda i rapporti con i genitori,4,6
6,Il giornalista accende l'interesse di Luca,4,3
6,Il professore apre la mente degli alunni,4,6
6,Il laureato chiude un capitolo della sua vita,5,6
6,Matilde getta la tristezza alle spalle,5,6
6,Il carabiniere monta gli indizi del delitto,5,6
6,La nonna attacca i ricordi nella memoria,4,5
6,Lo scienziato spacca il problema nei dettagli,4,5
6,Il cacciatore rompe la quiete del bosco,4,7
6,Monica butta le speranze nel dimenticatoio,4,6
6,Vittorio spezza la noia con un film,4,5
6,L'avvocato tocca il centro della questione,4,6
6,Il politico trita le idee degli avversari,5,3
6,Annalisa scava i segreti dell'animo ,4,6
6,Marcella colpisce il cuore del suo fidanzato,4,6
6,Antonio solleva il dolore del suo amico,5,6
6,Alessandro versa le energie nello studio,5,6
6,Il poliziotto strappa una confessione al ladro,4,7
6,Elisa spazza i problemi con decisione,4,5
6,Anna raccoglie le confidenze dell' amica,5,6
6,Sara sciacqua la coscienza con la beneficienza,4,4
6,Il giudice addita le colpe degli imputati,4,6
6,Il dirigente cuce nuovi rapporti di lavoro,6,2
6,Il giovane coglie l' opportunità con entusiasmo,4,6
6,L' inventore sfoglia le idee nella sua testa,5,3
6,Silvia afferra l' intuizione del collega,4,6
6,La madre costruisce la personalità del figlio,6,5
6,Adele calpesta i sogni della figlia ,5,6
6,Carlo calcia le critiche degli invidiosi ,5,6
6,L' architetto saltella da un' idea all' altra ,4,6
6,Lo studente zoppica verso l' esame di storia,4,6
6,Lisa corre verso l' amore con ingenuità,5,6
6,Il nonno cammina tra i ricordi d' infanzia,4,6
6,L' imprenditore segue l' istinto con decisione,6,4
6,Aldo fugge dagli obblighi del matrimonio,5,6
6,Marco percorre il destino del campione,4,6
6,Sofia attraversa le difficoltà con coraggio,5,7
6,Mario arriva alla decisione con fatica,4,6
6,Il paziente salta l' appuntamento con il dottore,4,5
6,Marta giunge alla conclusione del discorso,4,6
6,Il critico entra nella discussione con foga,4,6
6,Luigi avanza tra i problemi della vita,5,6
6,Giorgio passa dalla gioia alla disperazione ,5,6
6,L' uomo raggiunge la felicità per un istante,4,5
6,La vicina scende nei particolari della storia,4,4
6,Mara inciampa negli imprevisti della vita,4,6
6,Nino esce dall' ossessione delle scommesse,4,5
6,Lo psicologo perlustra l' animo del paziente,5,6
6,L' adolescente girovaga nei sogni di successo,4,6
6,L' operaio arranca verso la paga di fine-mese,4,5
6,Elena scivola sulla domanda di filosofia,4,5
6,Il padre sgattaiola dall' impegno dei figli,3,5
6,Luca scappa dalla realtà con la meditazione,6,5
6,L' artista pedala sull' ispirazione del momento,3,6
6,Il direttore pesta i diritti dei lavoratori,4,4
6,Franco scalcia i rimorsi di coscienza,4,3
6,La ragazza passeggia tra le pagine del diario,4,6
7,Alice disegna il suo futuro con Alberto,4,5
7,Laura ricama il discorso con tanti dettagli,4,6
7,Guido timbra il passaggio all' età adulta ,5,6
7,Gaia rammenda i rapporti con i genitori,5,6
7,Il giornalista accende l'interesse di Luca,5,4
7,Il professore apre la mente degli alunni,4,6
7,Il laureato chiude un capitolo della sua vita,4,6
7,Matilde getta la tristezza alle spalle,4,6
7,Il carabiniere monta gli indizi del delitto,5,6
7,La nonna attacca i ricordi nella memoria,4,5
7,Lo scienziato spacca il problema nei dettagli,5,6
7,Il cacciatore rompe la quiete del bosco,4,6
7,Monica butta le speranze nel dimenticatoio,5,6
7,Vittorio spezza la noia con un film,6,7
7,L'avvocato tocca il centro della questione,6,7
7,Il politico trita le idee degli avversari,4,6
7,Annalisa scava i segreti dell'animo ,6,5
7,Marcella colpisce il cuore del suo fidanzato,5,7
7,Antonio solleva il dolore del suo amico,3,6
7,Alessandro versa le energie nello studio,6,5
7,Il poliziotto strappa una confessione al ladro,5,7
7,Elisa spazza i problemi con decisione,4,6
7,Anna raccoglie le confidenze dell' amica,5,6
7,Sara sciacqua la coscienza con la beneficienza,4,1
7,Il giudice addita le colpe degli imputati,4,6
7,Il dirigente cuce nuovi rapporti di lavoro,3,2
7,Il giovane coglie l' opportunità con entusiasmo,5,7
7,L' inventore sfoglia le idee nella sua testa,3,4
7,Silvia afferra l' intuizione del collega,5,5
7,La madre costruisce la personalità del figlio,4,6
7,Adele calpesta i sogni della figlia ,4,5
7,Carlo calcia le critiche degli invidiosi ,6,4
7,L' architetto saltella da un' idea all' altra ,4,6
7,Lo studente zoppica verso l' esame di storia,4,6
7,Lisa corre verso l' amore con ingenuità,4,6
7,Il nonno cammina tra i ricordi d' infanzia,2,6
7,L' imprenditore segue l' istinto con decisione,4,6
7,Aldo fugge dagli obblighi del matrimonio,5,6
7,Marco percorre il destino del campione,4,6
7,Sofia attraversa le difficoltà con coraggio,4,6
7,Mario arriva alla decisione con fatica,5,6
7,Il paziente salta l' appuntamento con il dottore,5,7
7,Marta giunge alla conclusione del discorso,4,6
7,Il critico entra nella discussione con foga,4,6
7,Luigi avanza tra i problemi della vita,4,6
7,Giorgio passa dalla gioia alla disperazione ,4,6
7,L' uomo raggiunge la felicità per un istante,5,3
7,La vicina scende nei particolari della storia,4,5
7,Mara inciampa negli imprevisti della vita,6,7
7,Nino esce dall' ossessione delle scommesse,4,6
7,Lo psicologo perlustra l' animo del paziente,5,6
7,L' adolescente girovaga nei sogni di successo,4,6
7,L' operaio arranca verso la paga di fine-mese,4,6
7,Elena scivola sulla domanda di filosofia,4,4
7,Il padre sgattaiola dall' impegno dei figli,4,5
7,Luca scappa dalla realtà con la meditazione,4,6
7,L' artista pedala sull' ispirazione del momento,5,6
7,Il direttore pesta i diritti dei lavoratori,4,1
7,Franco scalcia i rimorsi di coscienza,5,6
7,La ragazza passeggia tra le pagine del diario,4,5
8,Alice disegna il suo futuro con Alberto,4,6
8,Laura ricama il discorso con tanti dettagli,5,6
8,Guido timbra il passaggio all' età adulta ,6,5
8,Gaia rammenda i rapporti con i genitori,4,5
8,Il giornalista accende l'interesse di Luca,5,4
8,Il professore apre la mente degli alunni,4,6
8,Il laureato chiude un capitolo della sua vita,4,7
8,Matilde getta la tristezza alle spalle,4,6
8,Il carabiniere monta gli indizi del delitto,4,6
8,La nonna attacca i ricordi nella memoria,4,6
8,Lo scienziato spacca il problema nei dettagli,4,6
8,Il cacciatore rompe la quiete del bosco,5,6
8,Monica butta le speranze nel dimenticatoio,5,6
8,Vittorio spezza la noia con un film,4,6
8,L'avvocato tocca il centro della questione,4,6
8,Il politico trita le idee degli avversari,4,3
8,Annalisa scava i segreti dell'animo ,6,3
8,Marcella colpisce il cuore del suo fidanzato,4,7
8,Antonio solleva il dolore del suo amico,4,6
8,Alessandro versa le energie nello studio,6,5
8,Il poliziotto strappa una confessione al ladro,4,6
8,Elisa spazza i problemi con decisione,4,6
8,Anna raccoglie le confidenze dell' amica,4,5
8,Sara sciacqua la coscienza con la beneficienza,4,2
8,Il giudice addita le colpe degli imputati,6,7
8,Il dirigente cuce nuovi rapporti di lavoro,4,2
8,Il giovane coglie l' opportunità con entusiasmo,4,6
8,L' inventore sfoglia le idee nella sua testa,4,5
8,Silvia afferra l' intuizione del collega,6,5
8,La madre costruisce la personalità del figlio,4,2
8,Adele calpesta i sogni della figlia ,6,7
8,Carlo calcia le critiche degli invidiosi ,4,6
8,L' architetto saltella da un' idea all' altra ,5,6
8,Lo studente zoppica verso l' esame di storia,4,6
8,Lisa corre verso l' amore con ingenuità,4,6
8,Il nonno cammina tra i ricordi d' infanzia,5,7
8,L' imprenditore segue l' istinto con decisione,4,5
8,Aldo fugge dagli obblighi del matrimonio,4,6
8,Marco percorre il destino del campione,6,2
8,Sofia attraversa le difficoltà con coraggio,4,6
8,Mario arriva alla decisione con fatica,5,6
8,Il paziente salta l' appuntamento con il dottore,4,5
8,Marta giunge alla conclusione del discorso,3,7
8,Il critico entra nella discussione con foga,4,7
8,Luigi avanza tra i problemi della vita,4,5
8,Giorgio passa dalla gioia alla disperazione ,4,6
8,L' uomo raggiunge la felicità per un istante,6,5
8,La vicina scende nei particolari della storia,4,6
8,Mara inciampa negli imprevisti della vita,4,6
8,Nino esce dall' ossessione delle scommesse,5,6
8,Lo psicologo perlustra l' animo del paziente,4,5
8,L' adolescente girovaga nei sogni di successo,4,6
8,L' operaio arranca verso la paga di fine-mese,4,6
8,Elena scivola sulla domanda di filosofia,4,5
8,Il padre sgattaiola dall' impegno dei figli,4,6
8,Luca scappa dalla realtà con la meditazione,4,6
8,L' artista pedala sull' ispirazione del momento,4,6
8,Il direttore pesta i diritti dei lavoratori,4,2
8,Franco scalcia i rimorsi di coscienza,4,6
8,La ragazza passeggia tra le pagine del diario,4,5
9,Alice disegna il suo futuro con Alberto,4,4
9,Laura ricama il discorso con tanti dettagli,6,4
9,Guido timbra il passaggio all' età adulta ,5,6
9,Gaia rammenda i rapporti con i genitori,4,7
9,Il giornalista accende l'interesse di Luca,2,3
9,Il professore apre la mente degli alunni,5,6
9,Il laureato chiude un capitolo della sua vita,6,7
9,Matilde getta la tristezza alle spalle,4,6
9,Il carabiniere monta gli indizi del delitto,2,3
9,La nonna attacca i ricordi nella memoria,6,3
9,Lo scienziato spacca il problema nei dettagli,4,5
9,Il cacciatore rompe la quiete del bosco,4,6
9,Monica butta le speranze nel dimenticatoio,6,5
9,Vittorio spezza la noia con un film,4,6
9,L'avvocato tocca il centro della questione,4,6
9,Il politico trita le idee degli avversari,4,5
9,Annalisa scava i segreti dell'animo ,4,5
9,Marcella colpisce il cuore del suo fidanzato,4,2
9,Antonio solleva il dolore del suo amico,5,6
9,Alessandro versa le energie nello studio,4,6
9,Il poliziotto strappa una confessione al ladro,5,7
9,Elisa spazza i problemi con decisione,4,5
9,Anna raccoglie le confidenze dell' amica,4,6
9,Sara sciacqua la coscienza con la beneficienza,2,1
9,Il giudice addita le colpe degli imputati,6,7
9,Il dirigente cuce nuovi rapporti di lavoro,5,2
9,Il giovane coglie l' opportunità con entusiasmo,4,7
9,L' inventore sfoglia le idee nella sua testa,4,3
9,Silvia afferra l' intuizione del collega,4,6
9,La madre costruisce la personalità del figlio,5,6
9,Adele calpesta i sogni della figlia ,4,6
9,Carlo calcia le critiche degli invidiosi ,6,7
9,L' architetto saltella da un' idea all' altra ,4,5
9,Lo studente zoppica verso l' esame di storia,4,6
9,Lisa corre verso l' amore con ingenuità,4,6
9,Il nonno cammina tra i ricordi d' infanzia,3,6
9,L' imprenditore segue l' istinto con decisione,6,5
9,Aldo fugge dagli obblighi del matrimonio,4,6
9,Marco percorre il destino del campione,4,2
9,Sofia attraversa le difficoltà con coraggio,4,7
9,Mario arriva alla decisione con fatica,6,5
9,Il paziente salta l' appuntamento con il dottore,3,6
9,Marta giunge alla conclusione del discorso,6,7
9,Il critico entra nella discussione con foga,6,7
9,Luigi avanza tra i problemi della vita,4,6
9,Giorgio passa dalla gioia alla disperazione ,4,6
9,L' uomo raggiunge la felicità per un istante,4,5
9,La vicina scende nei particolari della storia,6,5
9,Mara inciampa negli imprevisti della vita,4,6
9,Nino esce dall' ossessione delle scommesse,4,5
9,Lo psicologo perlustra l' animo del paziente,4,6
9,L' adolescente girovaga nei sogni di successo,4,6
9,L' operaio arranca verso la paga di fine-mese,5,6
